x,y,label,filename
2101,651,1,10257_idx5_x2101_y651_class1.png
1551,1551,1,10257_idx5_x1551_y1551_class1.png
2151,801,1,10257_idx5_x2151_y801_class1.png
2101,601,1,10257_idx5_x2101_y601_class1.png
1501,1451,1,10257_idx5_x1501_y1451_class1.png
1951,601,1,10257_idx5_x1951_y601_class1.png
1601,1451,1,10257_idx5_x1601_y1451_class1.png
1801,801,1,10257_idx5_x1801_y801_class1.png
1601,901,1,10257_idx5_x1601_y901_class1.png
1951,1651,1,10257_idx5_x1951_y1651_class1.png
1551,1651,1,10257_idx5_x1551_y1651_class1.png
1701,1051,1,10257_idx5_x1701_y1051_class1.png
1801,1001,1,10257_idx5_x1801_y1001_class1.png
1601,1701,1,10257_idx5_x1601_y1701_class1.png
1801,1101,1,10257_idx5_x1801_y1101_class1.png
1751,1351,1,10257_idx5_x1751_y1351_class1.png
1751,1551,1,10257_idx5_x1751_y1551_class1.png
1751,1051,1,10257_idx5_x1751_y1051_class1.png
1901,751,1,10257_idx5_x1901_y751_class1.png
1601,1401,1,10257_idx5_x1601_y1401_class1.png
1551,1501,1,10257_idx5_x1551_y1501_class1.png
2001,1751,1,10257_idx5_x2001_y1751_class1.png
1701,1251,1,10257_idx5_x1701_y1251_class1.png
1651,1551,1,10257_idx5_x1651_y1551_class1.png
1651,1651,1,10257_idx5_x1651_y1651_class1.png
1501,1351,1,10257_idx5_x1501_y1351_class1.png
1651,1151,1,10257_idx5_x1651_y1151_class1.png
1951,1751,1,10257_idx5_x1951_y1751_class1.png
1901,951,1,10257_idx5_x1901_y951_class1.png
2101,801,1,10257_idx5_x2101_y801_class1.png
2051,901,1,10257_idx5_x2051_y901_class1.png
1801,1651,1,10257_idx5_x1801_y1651_class1.png
2001,851,1,10257_idx5_x2001_y851_class1.png
1651,1401,1,10257_idx5_x1651_y1401_class1.png
1951,701,1,10257_idx5_x1951_y701_class1.png
1851,801,1,10257_idx5_x1851_y801_class1.png
2151,701,1,10257_idx5_x2151_y701_class1.png
2001,1601,1,10257_idx5_x2001_y1601_class1.png
1951,1501,1,10257_idx5_x1951_y1501_class1.png
1551,1301,1,10257_idx5_x1551_y1301_class1.png
1701,1651,1,10257_idx5_x1701_y1651_class1.png
1551,1151,1,10257_idx5_x1551_y1151_class1.png
1651,1601,1,10257_idx5_x1651_y1601_class1.png
1651,1701,1,10257_idx5_x1651_y1701_class1.png
1501,1151,1,10257_idx5_x1501_y1151_class1.png
1551,1001,1,10257_idx5_x1551_y1001_class1.png
1901,651,1,10257_idx5_x1901_y651_class1.png
1501,1201,1,10257_idx5_x1501_y1201_class1.png
1751,851,1,10257_idx5_x1751_y851_class1.png
1851,1551,1,10257_idx5_x1851_y1551_class1.png
1751,1201,1,10257_idx5_x1751_y1201_class1.png
1701,1351,1,10257_idx5_x1701_y1351_class1.png
2051,1701,1,10257_idx5_x2051_y1701_class1.png
1601,1301,1,10257_idx5_x1601_y1301_class1.png
1751,1301,1,10257_idx5_x1751_y1301_class1.png
1751,1101,1,10257_idx5_x1751_y1101_class1.png
1851,751,1,10257_idx5_x1851_y751_class1.png
1851,901,1,10257_idx5_x1851_y901_class1.png
1551,1601,1,10257_idx5_x1551_y1601_class1.png
1751,1601,1,10257_idx5_x1751_y1601_class1.png
2101,701,1,10257_idx5_x2101_y701_class1.png
1801,1501,1,10257_idx5_x1801_y1501_class1.png
1801,1401,1,10257_idx5_x1801_y1401_class1.png
1601,1351,1,10257_idx5_x1601_y1351_class1.png
1701,1201,1,10257_idx5_x1701_y1201_class1.png
1951,1551,1,10257_idx5_x1951_y1551_class1.png
1651,901,1,10257_idx5_x1651_y901_class1.png
1601,1251,1,10257_idx5_x1601_y1251_class1.png
1851,1701,1,10257_idx5_x1851_y1701_class1.png
2001,901,1,10257_idx5_x2001_y901_class1.png
1801,901,1,10257_idx5_x1801_y901_class1.png
1701,801,1,10257_idx5_x1701_y801_class1.png
1551,1051,1,10257_idx5_x1551_y1051_class1.png
1801,1701,1,10257_idx5_x1801_y1701_class1.png
1751,1651,1,10257_idx5_x1751_y1651_class1.png
1901,1551,1,10257_idx5_x1901_y1551_class1.png
2051,801,1,10257_idx5_x2051_y801_class1.png
1651,1201,1,10257_idx5_x1651_y1201_class1.png
2051,1601,1,10257_idx5_x2051_y1601_class1.png
1951,851,1,10257_idx5_x1951_y851_class1.png
1801,851,1,10257_idx5_x1801_y851_class1.png
1701,1301,1,10257_idx5_x1701_y1301_class1.png
1701,851,1,10257_idx5_x1701_y851_class1.png
1651,1501,1,10257_idx5_x1651_y1501_class1.png
1701,1501,1,10257_idx5_x1701_y1501_class1.png
1651,1451,1,10257_idx5_x1651_y1451_class1.png
1601,1101,1,10257_idx5_x1601_y1101_class1.png
1801,1451,1,10257_idx5_x1801_y1451_class1.png
1551,1451,1,10257_idx5_x1551_y1451_class1.png
1851,701,1,10257_idx5_x1851_y701_class1.png
2001,1551,1,10257_idx5_x2001_y1551_class1.png
1851,1501,1,10257_idx5_x1851_y1501_class1.png
1651,1001,1,10257_idx5_x1651_y1001_class1.png
1501,1251,1,10257_idx5_x1501_y1251_class1.png
1901,901,1,10257_idx5_x1901_y901_class1.png
1551,1401,1,10257_idx5_x1551_y1401_class1.png
1951,751,1,10257_idx5_x1951_y751_class1.png
1751,1251,1,10257_idx5_x1751_y1251_class1.png
1801,1801,1,10257_idx5_x1801_y1801_class1.png
2001,601,1,10257_idx5_x2001_y601_class1.png
2101,851,1,10257_idx5_x2101_y851_class1.png
1701,1001,1,10257_idx5_x1701_y1001_class1.png
1601,1551,1,10257_idx5_x1601_y1551_class1.png
1701,1101,1,10257_idx5_x1701_y1101_class1.png
1751,1751,1,10257_idx5_x1751_y1751_class1.png
1901,851,1,10257_idx5_x1901_y851_class1.png
2051,851,1,10257_idx5_x2051_y851_class1.png
1851,1051,1,10257_idx5_x1851_y1051_class1.png
1751,1801,1,10257_idx5_x1751_y1801_class1.png
1851,1001,1,10257_idx5_x1851_y1001_class1.png
1851,1401,1,10257_idx5_x1851_y1401_class1.png
1951,1601,1,10257_idx5_x1951_y1601_class1.png
2001,1651,1,10257_idx5_x2001_y1651_class1.png
1901,801,1,10257_idx5_x1901_y801_class1.png
1751,951,1,10257_idx5_x1751_y951_class1.png
1901,1651,1,10257_idx5_x1901_y1651_class1.png
1551,1351,1,10257_idx5_x1551_y1351_class1.png
1851,1651,1,10257_idx5_x1851_y1651_class1.png
1751,1451,1,10257_idx5_x1751_y1451_class1.png
1901,1801,1,10257_idx5_x1901_y1801_class1.png
1601,1751,1,10257_idx5_x1601_y1751_class1.png
1601,1001,1,10257_idx5_x1601_y1001_class1.png
1601,1051,1,10257_idx5_x1601_y1051_class1.png
2001,701,1,10257_idx5_x2001_y701_class1.png
1651,1051,1,10257_idx5_x1651_y1051_class1.png
1851,1451,1,10257_idx5_x1851_y1451_class1.png
1951,801,1,10257_idx5_x1951_y801_class1.png
1751,1401,1,10257_idx5_x1751_y1401_class1.png
1751,1001,1,10257_idx5_x1751_y1001_class1.png
1701,951,1,10257_idx5_x1701_y951_class1.png
1701,1151,1,10257_idx5_x1701_y1151_class1.png
1901,1601,1,10257_idx5_x1901_y1601_class1.png
1651,951,1,10257_idx5_x1651_y951_class1.png
1501,1601,1,10257_idx5_x1501_y1601_class1.png
2101,751,1,10257_idx5_x2101_y751_class1.png
1701,1701,1,10257_idx5_x1701_y1701_class1.png
1801,951,1,10257_idx5_x1801_y951_class1.png
1901,1451,1,10257_idx5_x1901_y1451_class1.png
1801,1301,1,10257_idx5_x1801_y1301_class1.png
1701,1751,1,10257_idx5_x1701_y1751_class1.png
1601,951,1,10257_idx5_x1601_y951_class1.png
1751,901,1,10257_idx5_x1751_y901_class1.png
1801,1601,1,10257_idx5_x1801_y1601_class1.png
1651,1351,1,10257_idx5_x1651_y1351_class1.png
1501,1101,1,10257_idx5_x1501_y1101_class1.png
1751,801,1,10257_idx5_x1751_y801_class1.png
1551,1701,1,10257_idx5_x1551_y1701_class1.png
2051,1651,1,10257_idx5_x2051_y1651_class1.png
1951,901,1,10257_idx5_x1951_y901_class1.png
1501,1551,1,10257_idx5_x1501_y1551_class1.png
1551,1251,1,10257_idx5_x1551_y1251_class1.png
1801,751,1,10257_idx5_x1801_y751_class1.png
1501,1501,1,10257_idx5_x1501_y1501_class1.png
1651,1251,1,10257_idx5_x1651_y1251_class1.png
1951,1701,1,10257_idx5_x1951_y1701_class1.png
1651,1301,1,10257_idx5_x1651_y1301_class1.png
1601,1151,1,10257_idx5_x1601_y1151_class1.png
1551,1201,1,10257_idx5_x1551_y1201_class1.png
2051,651,1,10257_idx5_x2051_y651_class1.png
1901,701,1,10257_idx5_x1901_y701_class1.png
1751,1151,1,10257_idx5_x1751_y1151_class1.png
1701,1401,1,10257_idx5_x1701_y1401_class1.png
1501,1401,1,10257_idx5_x1501_y1401_class1.png
1801,1251,1,10257_idx5_x1801_y1251_class1.png
1701,1601,1,10257_idx5_x1701_y1601_class1.png
2001,1701,1,10257_idx5_x2001_y1701_class1.png
1751,1501,1,10257_idx5_x1751_y1501_class1.png
2151,651,1,10257_idx5_x2151_y651_class1.png
1601,1201,1,10257_idx5_x1601_y1201_class1.png
1551,1101,1,10257_idx5_x1551_y1101_class1.png
1501,1651,1,10257_idx5_x1501_y1651_class1.png
1801,1051,1,10257_idx5_x1801_y1051_class1.png
901,701,0,10257_idx5_x901_y701_class0.png
1301,1151,0,10257_idx5_x1301_y1151_class0.png
1801,1151,0,10257_idx5_x1801_y1151_class0.png
401,1401,0,10257_idx5_x401_y1401_class0.png
2201,401,0,10257_idx5_x2201_y401_class0.png
1451,1451,0,10257_idx5_x1451_y1451_class0.png
1901,1351,0,10257_idx5_x1901_y1351_class0.png
2001,1351,0,10257_idx5_x2001_y1351_class0.png
2151,2051,0,10257_idx5_x2151_y2051_class0.png
1601,551,0,10257_idx5_x1601_y551_class0.png
2101,451,0,10257_idx5_x2101_y451_class0.png
1651,1801,0,10257_idx5_x1651_y1801_class0.png
2151,851,0,10257_idx5_x2151_y851_class0.png
2201,1901,0,10257_idx5_x2201_y1901_class0.png
2151,1551,0,10257_idx5_x2151_y1551_class0.png
2051,1401,0,10257_idx5_x2051_y1401_class0.png
1701,2101,0,10257_idx5_x1701_y2101_class0.png
1951,1151,0,10257_idx5_x1951_y1151_class0.png
1851,651,0,10257_idx5_x1851_y651_class0.png
1851,1901,0,10257_idx5_x1851_y1901_class0.png
2251,301,0,10257_idx5_x2251_y301_class0.png
1951,1251,0,10257_idx5_x1951_y1251_class0.png
1601,651,0,10257_idx5_x1601_y651_class0.png
2351,1951,0,10257_idx5_x2351_y1951_class0.png
1851,551,0,10257_idx5_x1851_y551_class0.png
1751,1851,0,10257_idx5_x1751_y1851_class0.png
2201,1851,0,10257_idx5_x2201_y1851_class0.png
1351,1151,0,10257_idx5_x1351_y1151_class0.png
1101,1201,0,10257_idx5_x1101_y1201_class0.png
301,701,0,10257_idx5_x301_y701_class0.png
1851,1951,0,10257_idx5_x1851_y1951_class0.png
1701,651,0,10257_idx5_x1701_y651_class0.png
2051,1851,0,10257_idx5_x2051_y1851_class0.png
2151,301,0,10257_idx5_x2151_y301_class0.png
2251,851,0,10257_idx5_x2251_y851_class0.png
1801,601,0,10257_idx5_x1801_y601_class0.png
1201,951,0,10257_idx5_x1201_y951_class0.png
2101,1601,0,10257_idx5_x2101_y1601_class0.png
1551,2051,0,10257_idx5_x1551_y2051_class0.png
1951,1351,0,10257_idx5_x1951_y1351_class0.png
1951,1451,0,10257_idx5_x1951_y1451_class0.png
801,1501,0,10257_idx5_x801_y1501_class0.png
2101,1551,0,10257_idx5_x2101_y1551_class0.png
1401,1601,0,10257_idx5_x1401_y1601_class0.png
1301,1601,0,10257_idx5_x1301_y1601_class0.png
2301,451,0,10257_idx5_x2301_y451_class0.png
1051,1601,0,10257_idx5_x1051_y1601_class0.png
2001,2001,0,10257_idx5_x2001_y2001_class0.png
1451,1201,0,10257_idx5_x1451_y1201_class0.png
2101,1901,0,10257_idx5_x2101_y1901_class0.png
1201,1551,0,10257_idx5_x1201_y1551_class0.png
2201,1801,0,10257_idx5_x2201_y1801_class0.png
1951,1001,0,10257_idx5_x1951_y1001_class0.png
1701,1901,0,10257_idx5_x1701_y1901_class0.png
2051,1951,0,10257_idx5_x2051_y1951_class0.png
2201,151,0,10257_idx5_x2201_y151_class0.png
1951,1801,0,10257_idx5_x1951_y1801_class0.png
1751,601,0,10257_idx5_x1751_y601_class0.png
1901,551,0,10257_idx5_x1901_y551_class0.png
2301,1751,0,10257_idx5_x2301_y1751_class0.png
551,1551,0,10257_idx5_x551_y1551_class0.png
901,651,0,10257_idx5_x901_y651_class0.png
1501,901,0,10257_idx5_x1501_y901_class0.png
2101,1401,0,10257_idx5_x2101_y1401_class0.png
2301,2051,0,10257_idx5_x2301_y2051_class0.png
2101,1651,0,10257_idx5_x2101_y1651_class0.png
2251,451,0,10257_idx5_x2251_y451_class0.png
1351,1101,0,10257_idx5_x1351_y1101_class0.png
1051,851,0,10257_idx5_x1051_y851_class0.png
1851,1251,0,10257_idx5_x1851_y1251_class0.png
1451,1501,0,10257_idx5_x1451_y1501_class0.png
2351,351,0,10257_idx5_x2351_y351_class0.png
1501,1701,0,10257_idx5_x1501_y1701_class0.png
1901,1851,0,10257_idx5_x1901_y1851_class0.png
2201,601,0,10257_idx5_x2201_y601_class0.png
1051,1901,0,10257_idx5_x1051_y1901_class0.png
2251,251,0,10257_idx5_x2251_y251_class0.png
451,1101,0,10257_idx5_x451_y1101_class0.png
551,1651,0,10257_idx5_x551_y1651_class0.png
1301,1101,0,10257_idx5_x1301_y1101_class0.png
801,951,0,10257_idx5_x801_y951_class0.png
2151,1851,0,10257_idx5_x2151_y1851_class0.png
1901,1101,0,10257_idx5_x1901_y1101_class0.png
1801,701,0,10257_idx5_x1801_y701_class0.png
1201,1451,0,10257_idx5_x1201_y1451_class0.png
2251,1901,0,10257_idx5_x2251_y1901_class0.png
2051,1801,0,10257_idx5_x2051_y1801_class0.png
2051,151,0,10257_idx5_x2051_y151_class0.png
2301,251,0,10257_idx5_x2301_y251_class0.png
1401,1051,0,10257_idx5_x1401_y1051_class0.png
2151,601,0,10257_idx5_x2151_y601_class0.png
1651,1901,0,10257_idx5_x1651_y1901_class0.png
2301,301,0,10257_idx5_x2301_y301_class0.png
2101,1051,0,10257_idx5_x2101_y1051_class0.png
2201,701,0,10257_idx5_x2201_y701_class0.png
1451,1051,0,10257_idx5_x1451_y1051_class0.png
1351,1551,0,10257_idx5_x1351_y1551_class0.png
2051,1751,0,10257_idx5_x2051_y1751_class0.png
1901,1401,0,10257_idx5_x1901_y1401_class0.png
1151,2051,0,10257_idx5_x1151_y2051_class0.png
1401,651,0,10257_idx5_x1401_y651_class0.png
1551,701,0,10257_idx5_x1551_y701_class0.png
1551,751,0,10257_idx5_x1551_y751_class0.png
1701,2001,0,10257_idx5_x1701_y2001_class0.png
1801,351,0,10257_idx5_x1801_y351_class0.png
1051,1551,0,10257_idx5_x1051_y1551_class0.png
2001,51,0,10257_idx5_x2001_y51_class0.png
1101,1001,0,10257_idx5_x1101_y1001_class0.png
251,1451,0,10257_idx5_x251_y1451_class0.png
1951,1951,0,10257_idx5_x1951_y1951_class0.png
2001,1801,0,10257_idx5_x2001_y1801_class0.png
2151,1651,0,10257_idx5_x2151_y1651_class0.png
2151,151,0,10257_idx5_x2151_y151_class0.png
1401,1651,0,10257_idx5_x1401_y1651_class0.png
1951,1301,0,10257_idx5_x1951_y1301_class0.png
401,1451,0,10257_idx5_x401_y1451_class0.png
2301,501,0,10257_idx5_x2301_y501_class0.png
351,1451,0,10257_idx5_x351_y1451_class0.png
2251,651,0,10257_idx5_x2251_y651_class0.png
2151,2001,0,10257_idx5_x2151_y2001_class0.png
2151,2101,0,10257_idx5_x2151_y2101_class0.png
2201,1601,0,10257_idx5_x2201_y1601_class0.png
2101,201,0,10257_idx5_x2101_y201_class0.png
2001,1851,0,10257_idx5_x2001_y1851_class0.png
1501,201,0,10257_idx5_x1501_y201_class0.png
451,1451,0,10257_idx5_x451_y1451_class0.png
801,1851,0,10257_idx5_x801_y1851_class0.png
1301,1551,0,10257_idx5_x1301_y1551_class0.png
651,1601,0,10257_idx5_x651_y1601_class0.png
2001,1901,0,10257_idx5_x2001_y1901_class0.png
2101,251,0,10257_idx5_x2101_y251_class0.png
1701,1951,0,10257_idx5_x1701_y1951_class0.png
501,1451,0,10257_idx5_x501_y1451_class0.png
501,1551,0,10257_idx5_x501_y1551_class0.png
2101,1851,0,10257_idx5_x2101_y1851_class0.png
2151,351,0,10257_idx5_x2151_y351_class0.png
2001,1201,0,10257_idx5_x2001_y1201_class0.png
2051,551,0,10257_idx5_x2051_y551_class0.png
2001,1301,0,10257_idx5_x2001_y1301_class0.png
1951,2001,0,10257_idx5_x1951_y2001_class0.png
2301,551,0,10257_idx5_x2301_y551_class0.png
1651,751,0,10257_idx5_x1651_y751_class0.png
551,1601,0,10257_idx5_x551_y1601_class0.png
1351,1601,0,10257_idx5_x1351_y1601_class0.png
2001,201,0,10257_idx5_x2001_y201_class0.png
2001,1401,0,10257_idx5_x2001_y1401_class0.png
1951,1051,0,10257_idx5_x1951_y1051_class0.png
2301,601,0,10257_idx5_x2301_y601_class0.png
2101,1951,0,10257_idx5_x2101_y1951_class0.png
2001,251,0,10257_idx5_x2001_y251_class0.png
1501,801,0,10257_idx5_x1501_y801_class0.png
1851,201,0,10257_idx5_x1851_y201_class0.png
1801,2051,0,10257_idx5_x1801_y2051_class0.png
1001,1501,0,10257_idx5_x1001_y1501_class0.png
1201,1201,0,10257_idx5_x1201_y1201_class0.png
1401,1101,0,10257_idx5_x1401_y1101_class0.png
1451,1601,0,10257_idx5_x1451_y1601_class0.png
1951,151,0,10257_idx5_x1951_y151_class0.png
1651,651,0,10257_idx5_x1651_y651_class0.png
851,701,0,10257_idx5_x851_y701_class0.png
2001,151,0,10257_idx5_x2001_y151_class0.png
1851,1851,0,10257_idx5_x1851_y1851_class0.png
151,1151,0,10257_idx5_x151_y1151_class0.png
2251,201,0,10257_idx5_x2251_y201_class0.png
1951,1901,0,10257_idx5_x1951_y1901_class0.png
1701,701,0,10257_idx5_x1701_y701_class0.png
551,901,0,10257_idx5_x551_y901_class0.png
1001,1601,0,10257_idx5_x1001_y1601_class0.png
2151,1901,0,10257_idx5_x2151_y1901_class0.png
1701,751,0,10257_idx5_x1701_y751_class0.png
2251,151,0,10257_idx5_x2251_y151_class0.png
1851,1301,0,10257_idx5_x1851_y1301_class0.png
1601,601,0,10257_idx5_x1601_y601_class0.png
1651,151,0,10257_idx5_x1651_y151_class0.png
1751,701,0,10257_idx5_x1751_y701_class0.png
1901,201,0,10257_idx5_x1901_y201_class0.png
2301,1601,0,10257_idx5_x2301_y1601_class0.png
2051,1051,0,10257_idx5_x2051_y1051_class0.png
1451,1251,0,10257_idx5_x1451_y1251_class0.png
1151,1001,0,10257_idx5_x1151_y1001_class0.png
2101,51,0,10257_idx5_x2101_y51_class0.png
1501,1001,0,10257_idx5_x1501_y1001_class0.png
2051,201,0,10257_idx5_x2051_y201_class0.png
1651,2101,0,10257_idx5_x1651_y2101_class0.png
2351,1601,0,10257_idx5_x2351_y1601_class0.png
2101,901,0,10257_idx5_x2101_y901_class0.png
1601,1851,0,10257_idx5_x1601_y1851_class0.png
701,1651,0,10257_idx5_x701_y1651_class0.png
1051,1501,0,10257_idx5_x1051_y1501_class0.png
1001,651,0,10257_idx5_x1001_y651_class0.png
1451,751,0,10257_idx5_x1451_y751_class0.png
1451,1401,0,10257_idx5_x1451_y1401_class0.png
2101,501,0,10257_idx5_x2101_y501_class0.png
1951,2051,0,10257_idx5_x1951_y2051_class0.png
1901,1901,0,10257_idx5_x1901_y1901_class0.png
2201,2001,0,10257_idx5_x2201_y2001_class0.png
2101,151,0,10257_idx5_x2101_y151_class0.png
751,1451,0,10257_idx5_x751_y1451_class0.png
1551,651,0,10257_idx5_x1551_y651_class0.png
2201,851,0,10257_idx5_x2201_y851_class0.png
2251,1551,0,10257_idx5_x2251_y1551_class0.png
1251,1601,0,10257_idx5_x1251_y1601_class0.png
1401,1501,0,10257_idx5_x1401_y1501_class0.png
1251,1201,0,10257_idx5_x1251_y1201_class0.png
1151,1501,0,10257_idx5_x1151_y1501_class0.png
2051,951,0,10257_idx5_x2051_y951_class0.png
2101,401,0,10257_idx5_x2101_y401_class0.png
2001,551,0,10257_idx5_x2001_y551_class0.png
2251,801,0,10257_idx5_x2251_y801_class0.png
1651,601,0,10257_idx5_x1651_y601_class0.png
2251,401,0,10257_idx5_x2251_y401_class0.png
2101,2001,0,10257_idx5_x2101_y2001_class0.png
2301,401,0,10257_idx5_x2301_y401_class0.png
1401,1151,0,10257_idx5_x1401_y1151_class0.png
601,1651,0,10257_idx5_x601_y1651_class0.png
2201,351,0,10257_idx5_x2201_y351_class0.png
101,1151,0,10257_idx5_x101_y1151_class0.png
2001,301,0,10257_idx5_x2001_y301_class0.png
2251,601,0,10257_idx5_x2251_y601_class0.png
1151,2001,0,10257_idx5_x1151_y2001_class0.png
2251,1601,0,10257_idx5_x2251_y1601_class0.png
1101,1601,0,10257_idx5_x1101_y1601_class0.png
1951,351,0,10257_idx5_x1951_y351_class0.png
1451,1301,0,10257_idx5_x1451_y1301_class0.png
1501,651,0,10257_idx5_x1501_y651_class0.png
2051,1301,0,10257_idx5_x2051_y1301_class0.png
1851,1201,0,10257_idx5_x1851_y1201_class0.png
2001,2151,0,10257_idx5_x2001_y2151_class0.png
2201,301,0,10257_idx5_x2201_y301_class0.png
1201,1501,0,10257_idx5_x1201_y1501_class0.png
1801,1901,0,10257_idx5_x1801_y1901_class0.png
1951,1401,0,10257_idx5_x1951_y1401_class0.png
2001,951,0,10257_idx5_x2001_y951_class0.png
1051,1201,0,10257_idx5_x1051_y1201_class0.png
1701,551,0,10257_idx5_x1701_y551_class0.png
1101,2051,0,10257_idx5_x1101_y2051_class0.png
2251,1701,0,10257_idx5_x2251_y1701_class0.png
301,1401,0,10257_idx5_x301_y1401_class0.png
2251,1951,0,10257_idx5_x2251_y1951_class0.png
2001,1251,0,10257_idx5_x2001_y1251_class0.png
1901,1251,0,10257_idx5_x1901_y1251_class0.png
1301,651,0,10257_idx5_x1301_y651_class0.png
2101,951,0,10257_idx5_x2101_y951_class0.png
451,1001,0,10257_idx5_x451_y1001_class0.png
1251,601,0,10257_idx5_x1251_y601_class0.png
1901,101,0,10257_idx5_x1901_y101_class0.png
1451,701,0,10257_idx5_x1451_y701_class0.png
1901,351,0,10257_idx5_x1901_y351_class0.png
1751,1951,0,10257_idx5_x1751_y1951_class0.png
2101,1451,0,10257_idx5_x2101_y1451_class0.png
1751,2051,0,10257_idx5_x1751_y2051_class0.png
1851,1351,0,10257_idx5_x1851_y1351_class0.png
851,651,0,10257_idx5_x851_y651_class0.png
2051,1901,0,10257_idx5_x2051_y1901_class0.png
1651,801,0,10257_idx5_x1651_y801_class0.png
1651,2051,0,10257_idx5_x1651_y2051_class0.png
1901,1051,0,10257_idx5_x1901_y1051_class0.png
1701,451,0,10257_idx5_x1701_y451_class0.png
2251,2101,0,10257_idx5_x2251_y2101_class0.png
1801,1951,0,10257_idx5_x1801_y1951_class0.png
1201,1851,0,10257_idx5_x1201_y1851_class0.png
2101,551,0,10257_idx5_x2101_y551_class0.png
1951,201,0,10257_idx5_x1951_y201_class0.png
2151,951,0,10257_idx5_x2151_y951_class0.png
2301,2001,0,10257_idx5_x2301_y2001_class0.png
301,751,0,10257_idx5_x301_y751_class0.png
2251,1851,0,10257_idx5_x2251_y1851_class0.png
1351,1051,0,10257_idx5_x1351_y1051_class0.png
901,1551,0,10257_idx5_x901_y1551_class0.png
2251,701,0,10257_idx5_x2251_y701_class0.png
2251,551,0,10257_idx5_x2251_y551_class0.png
551,1501,0,10257_idx5_x551_y1501_class0.png
2251,2151,0,10257_idx5_x2251_y2151_class0.png
2001,2101,0,10257_idx5_x2001_y2101_class0.png
1001,1751,0,10257_idx5_x1001_y1751_class0.png
2151,1951,0,10257_idx5_x2151_y1951_class0.png
601,1551,0,10257_idx5_x601_y1551_class0.png
2151,251,0,10257_idx5_x2151_y251_class0.png
1201,1001,0,10257_idx5_x1201_y1001_class0.png
1951,2101,0,10257_idx5_x1951_y2101_class0.png
2351,1751,0,10257_idx5_x2351_y1751_class0.png
2001,1501,0,10257_idx5_x2001_y1501_class0.png
2201,1551,0,10257_idx5_x2201_y1551_class0.png
1801,551,0,10257_idx5_x1801_y551_class0.png
1451,1151,0,10257_idx5_x1451_y1151_class0.png
1601,801,0,10257_idx5_x1601_y801_class0.png
2201,651,0,10257_idx5_x2201_y651_class0.png
1501,701,0,10257_idx5_x1501_y701_class0.png
2051,1251,0,10257_idx5_x2051_y1251_class0.png
501,901,0,10257_idx5_x501_y901_class0.png
1451,1651,0,10257_idx5_x1451_y1651_class0.png
2151,1051,0,10257_idx5_x2151_y1051_class0.png
2251,351,0,10257_idx5_x2251_y351_class0.png
1601,101,0,10257_idx5_x1601_y101_class0.png
2201,251,0,10257_idx5_x2201_y251_class0.png
2101,301,0,10257_idx5_x2101_y301_class0.png
1901,251,0,10257_idx5_x1901_y251_class0.png
1701,601,0,10257_idx5_x1701_y601_class0.png
1451,1701,0,10257_idx5_x1451_y1701_class0.png
1601,851,0,10257_idx5_x1601_y851_class0.png
1901,1951,0,10257_idx5_x1901_y1951_class0.png
1551,601,0,10257_idx5_x1551_y601_class0.png
1251,1301,0,10257_idx5_x1251_y1301_class0.png
1401,1851,0,10257_idx5_x1401_y1851_class0.png
1651,1851,0,10257_idx5_x1651_y1851_class0.png
1451,1001,0,10257_idx5_x1451_y1001_class0.png
